V,density_label,density,edges,implementation,avg_us,peak_kb
100,sparse,0.06,314,GraphList,84.2336,0
100,sparse,0.06,314,GraphMatrix,82.0164,16
100,sparse,0.06,314,GraphPriorityQueue,32.1748,0
100,dense,0.5,2496,GraphList,74.4002,0
100,dense,0.5,2496,GraphMatrix,75.5916,0
100,dense,0.5,2496,GraphPriorityQueue,81.8752,48
500,sparse,0.06,7418,GraphList,709.8,0
500,sparse,0.06,7418,GraphMatrix,762.558,0
500,sparse,0.06,7418,GraphPriorityQueue,312.933,16
500,dense,0.5,62140,GraphList,646.158,16
500,dense,0.5,62140,GraphMatrix,1189.8,0
500,dense,0.5,62140,GraphPriorityQueue,561.95,32
1000,sparse,0.06,30076,GraphList,1202.91,0
1000,sparse,0.06,30076,GraphMatrix,1796.64,0
1000,sparse,0.06,30076,GraphPriorityQueue,455.3,32
1000,dense,0.5,249209,GraphList,1763.8,0
1000,dense,0.5,249209,GraphMatrix,4009.61,0
1000,dense,0.5,249209,GraphPriorityQueue,1673.37,0
2000,sparse,0.06,120453,GraphList,3347.74,0
2000,sparse,0.06,120453,GraphMatrix,5359.19,0
2000,sparse,0.06,120453,GraphPriorityQueue,1154.02,64
2000,dense,0.5,999118,GraphList,6081.04,0
2000,dense,0.5,999118,GraphMatrix,14675,0
2000,dense,0.5,999118,GraphPriorityQueue,6964.82,0
5000,sparse,0.06,748897,GraphList,20192.4,32
5000,sparse,0.06,748897,GraphMatrix,31578.4,0
5000,sparse,0.06,748897,GraphPriorityQueue,7522.97,0
5000,dense,0.5,6252402,GraphList,25861.2,16
5000,dense,0.5,6252402,GraphMatrix,85018,0
5000,dense,0.5,6252402,GraphPriorityQueue,41774.7,0
